result_id,season_name,season_id,matchday_number,event_id,home_team,away_team,home_goals,away_goals,total_goals,o15,o25,u25,u35,gg,ng,has_core_odds,has_league_snapshot,over_15,over_25,under_25,under_35,gg_yes,ng_yes,home_win,draw,away_win
66331,VFLM 5271,vf:season:3096550,16,vf:season:3096550:16:Liverpool:Tottenham,Liverpool,Tottenham,4,0,4,1.22,1.8,1.9,1.35,1.9,1.8,True,True,True,True,False,False,False,True,True,False,False
66327,VFLM 5271,vf:season:3096550,16,vf:season:3096550:16:London Guns:Manchester Blue,London Guns,Manchester Blue,0,0,0,1.15,1.45,2.6,1.65,1.5,2.4,True,True,False,False,True,True,False,True,False,True,False
167548,VFLM 5271,vf:season:3096550,16,vf:match:season:vflm5271:md:16:ManchesterRed:ManchesterBlue,Manchester Red,Manchester Blue,0,4,4,,,,,,,False,True,True,True,False,False,False,True,False,False,True
167545,VFLM 5271,vf:season:3096550,16,vf:match:season:vflm5271:md:16:Newcastle:Everton,Newcastle,Everton,0,0,0,,,,,,,False,True,False,False,True,True,False,True,False,True,False
167542,VFLM 5271,vf:season:3096550,16,vf:match:season:vflm5271:md:16:Tottenham:LondonGuns,Tottenham,London Guns,1,1,2,,,,,,,False,True,True,False,True,True,True,False,False,True,False
167541,VFLM 5271,vf:season:3096550,16,vf:match:season:vflm5271:md:16:WestHam:Bournemouth,West Ham,Bournemouth,3,1,4,,,,,,,False,True,True,True,False,False,True,False,True,False,False
167543,VFLM 5271,vf:season:3096550,16,vf:match:season:vflm5271:md:16:Wolverhampton:Fulham,Wolverhampton,Fulham,3,1,4,,,,,,,False,True,True,True,False,False,True,False,True,False,False
66330,VFLM 5271,vf:season:3096550,16,vf:season:3096550:16:Wolverhampton:Crystal Palace,Wolverhampton,Crystal Palace,4,0,4,1.18,1.6,2.2,1.45,1.65,2.15,True,True,True,True,False,False,False,True,True,False,False
167539,VFLM 5271,vf:season:3096550,17,vf:match:season:vflm5271:md:17:Bournemouth:Liverpool,Bournemouth,Liverpool,0,2,2,,,,,,,False,True,True,False,True,True,False,True,False,False,True
66339,VFLM 5271,vf:season:3096550,17,vf:season:3096550:17:Brighton:Leeds,Brighton,Leeds,3,3,6,1.6,2.75,1.4,1.12,2.5,1.45,True,True,True,True,False,False,True,False,False,True,False
167534,VFLM 5271,vf:season:3096550,17,vf:match:season:vflm5271:md:17:Brighton:WestHam,Brighton,West Ham,2,4,6,,,,,,,False,True,True,True,False,False,True,False,False,False,True
