# WC pattern chains — spot what leads to odd (1) vs even (0) goals
# MD: 8 bits = WC slots 1..8 | tokens = slot:HW×FW:bit

=== VFLM 5397 ===
  MD06 11100111 | 1:UMW×HW:1 2:HW×UMW:1 3:FW×HW:1 4:LMW×HW:0 5:UMW×FW:0 6:UMW×LMW:1 7:LMW×LMW:1 8:FW×FW:1
  MD07 01100010 | 1:HW×HW:0 2:HW×UMW:1 3:HW×LMW:1 4:UMW×LMW:0 5:FW×UMW:0 6:LMW×UMW:0 7:FW×LMW:1 8:FW×FW:0
  MD08 01110110 | 1:HW×HW:0 2:LMW×HW:1 3:LMW×HW:1 4:UMW×FW:1 5:LMW×UMW:0 6:UMW×FW:1 7:UMW×FW:1 8:FW×LMW:0
  MD09 11110111 | 1:UMW×HW:1 2:FW×HW:1 3:HW×LMW:1 4:HW×LMW:1 5:UMW×FW:0 6:LMW×UMW:1 7:FW×UMW:1 8:FW×LMW:1
  MD10 00011111 | 1:HW×HW:0 2:UMW×UMW:0 3:HW×LMW:0 4:LMW×HW:1 5:LMW×UMW:1 6:UMW×FW:1 7:LMW×FW:1 8:FW×FW:1
  MD11 00110001 | 1:UMW×HW:0 2:UMW×HW:0 3:UMW×UMW:1 4:HW×LMW:1 5:HW×FW:0 6:FW×LMW:0 7:FW×LMW:0 8:LMW×FW:1
  MD12 01000001 | 1:UMW×HW:0 2:HW×UMW:1 3:LMW×HW:0 4:HW×FW:0 5:FW×UMW:0 6:LMW×UMW:0 7:LMW×FW:0 8:LMW×FW:1
  MD13 10110001 | 1:HW×HW:1 2:FW×HW:0 3:HW×LMW:1 4:UMW×LMW:1 5:UMW×FW:0 6:UMW×FW:0 7:UMW×LMW:0 8:FW×LMW:1
  MD14 11010101 | 1:HW×UMW:1 2:UMW×HW:1 3:HW×LMW:0 4:FW×HW:1 5:LMW×UMW:0 6:FW×UMW:1 7:LMW×FW:0 8:LMW×FW:1
  MD15 01110010 | 1:HW×UMW:0 2:UMW×UMW:1 3:FW×HW:1 4:HW×FW:1 5:FW×HW:0 6:UMW×LMW:0 7:LMW×FW:1 8:LMW×LMW:0
  MD16 11101110 | 1:HW×UMW:1 2:HW×HW:1 3:HW×UMW:1 4:UMW×UMW:0 5:LMW×LMW:1 6:FW×LMW:1 7:LMW×FW:1 8:FW×FW:0
  MD17 10111001 | 1:UMW×HW:1 2:HW×UMW:0 3:LMW×HW:1 4:FW×HW:1 5:UMW×FW:1 6:UMW×LMW:0 7:LMW×LMW:0 8:FW×FW:1
  MD18 10010110 | 1:HW×HW:1 2:LMW×HW:0 3:HW×FW:0 4:FW×UMW:1 5:UMW×FW:0 6:FW×UMW:1 7:LMW×UMW:1 8:LMW×LMW:0
  MD19 11011111 | 1:UMW×HW:1 2:HW×FW:1 3:HW×LMW:0 4:LMW×HW:1 5:UMW×FW:1 6:FW×UMW:1 7:UMW×LMW:1 8:FW×LMW:1
  MD20 10011101 | 1:HW×UMW:1 2:UMW×UMW:0 3:FW×HW:0 4:LMW×HW:1 5:HW×FW:1 6:FW×UMW:1 7:LMW×LMW:0 8:LMW×FW:1
  MD21 10001100 | 1:HW×HW:1 2:HW×UMW:0 3:UMW×UMW:0 4:HW×FW:0 5:UMW×LMW:1 6:LMW×LMW:1 7:FW×LMW:0 8:FW×FW:0
  MD22 11000111 | 1:UMW×HW:1 2:LMW×HW:1 3:HW×LMW:0 4:LMW×HW:0 5:UMW×FW:0 6:UMW×FW:1 7:LMW×UMW:1 8:FW×FW:1
  MD23 01011000 | 1:HW×UMW:0 2:UMW×UMW:1 3:HW×LMW:0 4:HW×LMW:1 5:FW×HW:1 6:FW×UMW:0 7:LMW×LMW:0 8:FW×FW:0
  MD24 01100101 | 1:UMW×HW:0 2:UMW×HW:1 3:LMW×HW:1 4:HW×LMW:0 5:UMW×FW:0 6:FW×UMW:1 7:LMW×FW:0 8:LMW×FW:1
  MD25 10111011 | 1:HW×UMW:1 2:HW×UMW:0 3:FW×HW:1 4:HW×FW:1 5:FW×UMW:1 6:UMW×LMW:0 7:FW×LMW:1 8:LMW×LMW:1
  MD26 11110110 | 1:HW×UMW:1 2:UMW×UMW:1 3:FW×HW:1 4:LMW×HW:1 5:LMW×HW:0 6:UMW×LMW:1 7:LMW×FW:1 8:FW×FW:0
  MD27 01000101 | 1:HW×UMW:0 2:HW×HW:1 3:HW×LMW:0 4:FW×UMW:0 5:UMW×LMW:0 6:UMW×FW:1 7:FW×LMW:0 8:LMW×FW:1
  MD28 01010000 | 1:HW×HW:0 2:LMW×HW:1 3:HW×LMW:0 4:FW×UMW:1 5:LMW×UMW:0 6:FW×UMW:0 7:UMW×LMW:0 8:FW×FW:0
  MD29 11010100 | 1:UMW×HW:1 2:LMW×HW:1 3:HW×FW:0 4:HW×FW:1 5:UMW×FW:0 6:UMW×LMW:1 7:FW×UMW:0 8:LMW×LMW:0
  MD30 11001000 | 1:UMW×HW:1 2:UMW×UMW:1 3:HW×FW:0 4:FW×HW:0 5:HW×LMW:1 6:FW×UMW:0 7:LMW×LMW:0 8:FW×LMW:0

=== VFLM 5401 ===
  MD01 00010010 | 1:LMW×LMW:0 2:LMW×LMW:0 3:LMW×LMW:0 4:LMW×LMW:1 5:LMW×LMW:0 6:LMW×LMW:0 7:LMW×LMW:1 8:LMW×LMW:0
  MD02 01000001 | 1:UMW×UMW:0 2:FW×HW:1 3:HW×LMW:0 4:HW×LMW:0 5:LMW×HW:0 6:UMW×FW:0 7:UMW×FW:0 8:FW×LMW:1
  MD03 00101000 | 1:UMW×HW:0 2:UMW×HW:0 3:HW×LMW:1 4:HW×FW:0 5:LMW×UMW:1 6:UMW×FW:0 7:LMW×FW:0 8:LMW×FW:0
