event_id,home_team,away_team,E_total_ou_cdf,E_total_exact_goals,E_total_h2h,E_total_blend,P_T_pmf_ou,top_scorelines_book_cs,top_scorelines_model,actual_total
vf:match:1404287314,Everton,Brighton,,,2.064,2.064,,[],"[{'scoreline': '1:0', 'p': 0.1362}, {'scoreline': '1:1', 'p': 0.135}, {'scoreline': '0:0', 'p': 0.1269}]",2
vf:match:1404287313,Manchester Red,Fulham,,,2.319,2.319,,[],"[{'scoreline': '1:1', 'p': 0.132}, {'scoreline': '1:0', 'p': 0.1186}, {'scoreline': '0:1', 'p': 0.1095}]",2
vf:match:1404287312,Fulham,Everton,,,1.974,1.974,,[],"[{'scoreline': '1:0', 'p': 0.1426}, {'scoreline': '0:0', 'p': 0.1389}, {'scoreline': '1:1', 'p': 0.1351}]",1
vf:match:1404287311,West Ham,Manchester Blue,,,3.321,3.321,,[],"[{'scoreline': '1:1', 'p': 0.0994}, {'scoreline': '2:1', 'p': 0.0858}, {'scoreline': '1:2', 'p': 0.0792}]",3
vf:match:1404287310,London Guns,Bournemouth,,,2.687,2.687,,[],"[{'scoreline': '1:1', 'p': 0.1227}, {'scoreline': '1:0', 'p': 0.0951}, {'scoreline': '0:1', 'p': 0.0878}]",2
vf:match:1404287309,Brighton,Tottenham,,,2.43,2.43,,[],"[{'scoreline': '1:1', 'p': 0.1298}, {'scoreline': '1:0', 'p': 0.1112}, {'scoreline': '0:1', 'p': 0.1027}]",4
vf:match:1404287308,Leeds,Aston Villa,,,2.04,2.04,,[],"[{'scoreline': '1:0', 'p': 0.1379}, {'scoreline': '1:1', 'p': 0.1351}, {'scoreline': '0:0', 'p': 0.13}]",2
vf:match:1404287307,Wolverhampton,Newcastle,,,3.021,3.021,,[],"[{'scoreline': '1:1', 'p': 0.1111}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",1
vf:match:1404287306,Liverpool,Manchester Red,,,2.724,2.724,,[],"[{'scoreline': '1:1', 'p': 0.1215}, {'scoreline': '1:0', 'p': 0.0929}, {'scoreline': '2:1', 'p': 0.0861}]",3
vf:match:1404287305,Chelsea,Crystal Palace,,,2.78,2.78,,[],"[{'scoreline': '1:1', 'p': 0.1197}, {'scoreline': '1:0', 'p': 0.0897}, {'scoreline': '2:1', 'p': 0.0865}]",2
vf:match:1404287304,Everton,Liverpool,,,2.168,2.168,,[],"[{'scoreline': '1:1', 'p': 0.1342}, {'scoreline': '1:0', 'p': 0.129}, {'scoreline': '0:1', 'p': 0.1191}]",0
vf:match:1404287303,Manchester Red,Chelsea,,,2.827,2.827,,[],"[{'scoreline': '1:1', 'p': 0.1181}, {'scoreline': '1:0', 'p': 0.087}, {'scoreline': '2:1', 'p': 0.0868}]",0
vf:match:1404287302,Aston Villa,Brighton,,,2.345,2.345,,[],"[{'scoreline': '1:1', 'p': 0.1316}, {'scoreline': '1:0', 'p': 0.1169}, {'scoreline': '0:1', 'p': 0.1079}]",2
vf:match:1404287301,Crystal Palace,London Guns,,,3.039,3.039,,[],"[{'scoreline': '1:1', 'p': 0.1104}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",3
vf:match:1404287300,Bournemouth,Wolverhampton,,,3.03,3.03,,[],"[{'scoreline': '1:1', 'p': 0.1107}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",2
