team,opponent,role,n,mean_team_goals,mean_opp_goals,mean_total,pct_odd_total,pct_win
Manchester Blue,Bournemouth,home,817,2.348,0.659,3.006,45.78,72.34
Manchester Blue,Brighton,away,818,1.656,1.075,2.731,43.77,52.81
Manchester Blue,Brighton,home,898,2.296,0.801,3.097,48.66,68.49
Manchester Blue,Chelsea,away,816,1.558,1.521,3.078,52.21,39.34
Manchester Blue,Chelsea,home,843,1.868,1.248,3.116,56.11,49.11
Manchester Blue,Crystal Palace,away,859,2.05,0.95,3.0,49.01,66.24
Manchester Blue,Crystal Palace,home,854,2.434,0.845,3.28,62.65,76.81
Manchester Blue,Everton,away,850,1.494,0.909,2.404,41.06,45.41
Manchester Blue,Everton,home,810,1.99,0.688,2.678,49.75,71.6
Manchester Blue,Fulham,away,845,1.376,0.731,2.108,45.8,55.5
Manchester Blue,Fulham,home,824,2.258,0.448,2.706,48.3,82.4
Manchester Blue,Leeds,away,871,1.54,0.59,2.13,50.86,58.78
Manchester Blue,Leeds,home,851,2.165,0.659,2.824,44.07,71.45
Manchester Blue,Liverpool,away,849,1.23,1.813,3.042,48.88,27.33
Manchester Blue,Liverpool,home,857,1.593,1.3,2.893,53.56,48.54
Manchester Blue,London Guns,away,837,1.544,1.691,3.234,50.78,39.78
Manchester Blue,London Guns,home,853,2.141,1.199,3.34,47.95,60.14
Manchester Blue,Manchester Red,away,879,1.177,1.33,2.507,50.06,35.15
Manchester Blue,Manchester Red,home,830,1.519,1.336,2.855,56.39,38.55
Manchester Blue,Newcastle,away,858,1.981,0.901,2.882,55.13,63.75
Manchester Blue,Newcastle,home,861,2.554,0.71,3.264,42.04,74.56
Manchester Blue,Tottenham,away,853,1.525,1.358,2.883,47.95,39.39
Manchester Blue,Tottenham,home,836,2.114,1.427,3.541,44.26,53.47
Manchester Blue,West Ham,away,830,1.619,1.316,2.935,41.93,44.7
Manchester Blue,West Ham,home,853,2.589,1.108,3.696,45.13,67.17
Manchester Blue,Wolverhampton,away,832,2.19,1.014,3.204,40.38,65.62
Manchester Blue,Wolverhampton,home,858,2.566,0.98,3.547,43.71,75.64
Manchester Red,Aston Villa,away,824,1.045,0.921,1.966,48.79,42.35
Manchester Red,Aston Villa,home,846,1.494,0.862,2.356,63.71,55.2
Manchester Red,Bournemouth,away,870,1.736,0.769,2.505,57.36,59.54
Manchester Red,Bournemouth,home,868,2.094,0.691,2.786,43.55,69.01
Manchester Red,Brighton,away,874,1.415,0.986,2.402,43.14,46.22
Manchester Red,Brighton,home,855,2.09,0.703,2.793,43.04,70.41
Manchester Red,Chelsea,away,840,1.364,1.544,2.908,65.6,39.52
Manchester Red,Chelsea,home,861,1.533,1.214,2.747,62.14,48.78
Manchester Red,Crystal Palace,away,860,1.729,0.965,2.694,58.02,56.51
Manchester Red,Crystal Palace,home,784,2.376,0.612,2.989,62.37,82.14
Manchester Red,Everton,away,823,1.315,0.985,2.3,59.17,41.92
Manchester Red,Everton,home,831,1.765,0.757,2.522,38.99,62.21
Manchester Red,Fulham,away,845,1.54,0.672,2.212,57.63,60.24
Manchester Red,Fulham,home,850,1.832,0.594,2.426,54.59,66.82
Manchester Red,Leeds,away,868,1.584,0.456,2.04,53.11,67.97
Manchester Red,Leeds,home,851,2.116,0.465,2.582,41.25,73.33
Manchester Red,Liverpool,away,817,1.037,1.551,2.588,45.04,25.95
Manchester Red,Liverpool,home,872,1.685,1.167,2.852,47.82,49.43
Manchester Red,London Guns,away,854,1.46,1.516,2.977,51.99,37.24
Manchester Red,London Guns,home,853,1.652,1.263,2.914,55.8,51.82
Manchester Red,Manchester Blue,away,830,1.336,1.519,2.855,56.39,40.24
Manchester Red,Manchester Blue,home,879,1.33,1.177,2.507,50.06,42.66
Manchester Red,Newcastle,away,823,1.883,0.864,2.747,45.81,60.27
Manchester Red,Newcastle,home,831,1.929,0.841,2.77,46.21,65.94
Manchester Red,Tottenham,away,830,1.143,1.31,2.453,53.98,35.06
Manchester Red,Tottenham,home,832,1.653,1.263,2.916,46.15,47.84
Manchester Red,West Ham,away,854,1.529,1.018,2.547,58.9,48.36
Manchester Red,West Ham,home,859,1.971,0.885,2.856,47.38,67.87
Manchester Red,Wolverhampton,away,838,1.838,1.016,2.853,55.01,56.8
Manchester Red,Wolverhampton,home,855,2.287,0.978,3.264,41.29,64.33
Newcastle,Aston Villa,away,850,0.504,1.829,2.333,35.41,7.88
Newcastle,Aston Villa,home,846,0.862,1.616,2.478,52.01,20.8
Newcastle,Bournemouth,away,836,1.175,1.154,2.329,40.55,36.84
Newcastle,Bournemouth,home,848,1.311,0.899,2.21,54.01,43.99
Newcastle,Brighton,away,812,0.901,1.339,2.24,50.86,25.86
Newcastle,Brighton,home,850,1.201,0.862,2.064,40.24,45.06
Newcastle,Chelsea,away,862,0.788,2.342,3.13,45.48,11.48
Newcastle,Chelsea,home,818,1.119,2.06,3.178,47.43,19.68
Newcastle,Crystal Palace,away,840,1.131,1.439,2.57,44.4,29.76
Newcastle,Crystal Palace,home,839,1.347,1.079,2.426,46.13,43.27
Newcastle,Everton,away,819,0.648,1.549,2.198,51.77,16.36
Newcastle,Everton,home,858,0.896,0.939,1.836,39.51,31.47
Newcastle,Fulham,away,850,0.939,1.128,2.067,54.24,32.47
Newcastle,Fulham,home,855,1.184,0.92,2.104,41.05,45.03
Newcastle,Leeds,away,847,1.105,1.17,2.275,52.54,34.36
Newcastle,Leeds,home,849,1.303,0.991,2.293,58.3,44.64
Newcastle,Liverpool,away,873,0.589,2.479,3.068,53.84,4.93
Newcastle,Liverpool,home,813,0.843,1.598,2.44,43.79,15.38
Newcastle,London Guns,away,884,0.766,2.236,3.002,53.39,12.78
Newcastle,London Guns,home,849,1.126,1.607,2.733,45.94,28.15
