event_id,actual_odd,total_goals,p_odd_from_correct_score,cs_lines,p_odd_oe_market,p_odd_exact_goals,p_over25,gap_cs_minus_oe,cs_pick_odd,oe_pick_odd
vf:match:1404269019,0,2,0.5001180765335506,16,0.5138888888888888,0.4954331703522761,0.5844155844155844,-0.01377081235533828,1,1
vf:match:1404269016,0,0,0.5033671220052108,16,0.5,0.48860547376624314,0.5466666666666666,0.003367122005210832,1,1
vf:match:1404269009,0,4,0.5154716918934557,16,0.5068493150684932,0.4934646719557167,0.5,0.008622376824962474,1,1
vf:match:1404269007,1,3,0.5135011859185058,16,0.5138888888888888,0.5155852814794073,0.36250000000000004,-0.00038770297038304147,1,1
vf:match:1404269004,1,3,0.48270145944817267,16,0.48611111111111105,0.47837660480464145,0.4533333333333333,-0.0034096516629383844,0,0
vf:match:1404269000,0,2,0.5346741492055205,15,0.5138888888888888,0.5100268855023327,0.4266666666666667,0.020785260316631637,1,1
vf:match:1404268998,0,4,0.511292946698494,16,0.5138888888888888,0.49475388749320953,0.5844155844155844,-0.0025959421903948288,1,1
vf:match:1404268996,0,2,0.4941964690759482,15,0.48611111111111105,0.4692684466540438,0.45945945945945943,0.00808535796483717,0,0
vf:match:1404268993,0,2,0.5036129841980871,16,0.5,0.49245877065152915,0.56,0.003612984198087088,1,1
vf:match:1404268982,1,3,0.4951830396663388,16,0.48611111111111105,0.4707543109575867,0.5,0.00907192855522776,0,0
vf:match:1404268981,0,2,0.556201574551486,16,0.5342465753424658,0.5212644933351744,0.527027027027027,0.02195499920902022,1,1
vf:match:1404268978,1,1,0.485413756320492,16,0.4794520547945205,0.4681487061268442,0.4666666666666667,0.0059617015259714745,0,0
vf:match:1404268976,0,4,0.4383330984879248,16,0.4383561643835617,0.4189200675554816,0.6375000000000001,-2.306589563688677e-05,0,0
vf:match:1404268974,1,1,0.4771761194088932,16,0.4794520547945205,0.46913527934122207,0.3373493975903614,-0.0022759353856273146,0,0
vf:match:1404268968,0,2,0.514198478554581,16,0.48611111111111105,0.48682666459116364,0.4864864864864864,0.028087367443469957,1,0
vf:match:1404268967,1,3,0.4801650950309135,16,0.4794520547945205,0.4674075423574422,0.5199999999999999,0.0007130402363929589,0,0
vf:match:1404268963,0,2,0.48171261535372256,16,0.4722222222222222,0.46333955203375365,0.44,0.009490393131500352,0,0
vf:match:1404268961,0,2,0.500277349543238,16,0.49315068493150677,0.48750601520844933,0.5135135135135135,0.007126664611731226,1,0
vf:match:1404268955,1,1,0.48086314112974826,16,0.4722222222222222,0.47093096650773464,0.32941176470588235,0.008640918907526052,0,0
vf:match:1404268954,0,2,0.4730771108649936,16,0.4722222222222222,0.4643896713919782,0.41558441558441556,0.0008548886427713898,0,0
vf:match:1404268944,0,2,0.4680934449861575,16,0.4657534246575343,0.45998632938824296,0.38961038961038963,0.002340020328623238,0,0
vf:match:1404268941,1,1,0.5072580758177954,16,0.5068493150684932,0.5050685243904498,0.43421052631578944,0.00040876074930218387,1,1
vf:match:1404268940,0,2,0.5025134090974752,16,0.5,0.488350070798521,0.4666666666666667,0.0025134090974752166,1,1
vf:match:1404268939,0,2,0.524266410708918,16,0.5138888888888888,0.509532894116823,0.3974358974358974,0.010377521820029156,1,1
vf:match:1404268930,0,2,0.4995657553731724,16,0.4794520547945205,0.4706010636511373,0.45945945945945943,0.02011370057865186,0,0
vf:match:1404268929,0,4,0.5499414731791297,16,0.5205479452054794,0.5051240262794723,0.5974025974025974,0.029393527973650246,1,1
vf:match:1404268927,0,4,0.5040951613282286,16,0.5,0.48447733284587835,0.5921052631578947,0.004095161328228625,1,1
vf:match:1404268924,0,2,0.4958743886699053,16,0.48611111111111105,0.4829928305751711,0.5066666666666666,0.009763277558794248,0,0
vf:match:1404268920,1,3,0.5247466093443794,16,0.5068493150684932,0.5023754677505705,0.5,0.017897294275886266,1,1
vf:match:1404268918,0,2,0.5026595128912487,16,0.5138888888888888,0.4729900068056643,0.6585365853658537,-0.011229375997640179,1,1
vf:match:1404268914,1,1,0.5125246883212368,16,0.5138888888888888,0.5082176471951674,0.4864864864864864,-0.001364200567652074,1,1
